review,rating,helpful_votes,platform,language,location,version,verified_purchase,date_clean,review_length_clean,review_clean,clean_token_count,sentiment
Works fine but there is room for improvement.,3,119,Amazon,de,Poland,5.0.3,Yes,2024-09-02,45,work fine room improvement,4,Neutral
"Highly satisfied, the app works exactly as expected.",4,41,App Store,fr,India,4.2.1,Yes,,52,highly satisfy app work exactly expect,6,Positive
The app is okay and does its job reasonably well.,3,185,Google Play,fr,Kenya,3.5.6,No,,49,app okay job reasonably well,5,Neutral
"Excellent app, very easy to use and extremely helpful.",4,12,Google Play,fr,Nepal,5.0.3,Yes,,54,excellent app easy use extremely helpful,6,Positive
"Very disappointing experience, the app crashes often.",1,51,Website,en,Nepal,3.5.6,Yes,,53,disappoint experience app crash often,5,Negative
"Decent app, neither too good nor too bad.",3,186,Google Play,fr,Poland,5.0.3,No,2024-06-01,41,decent app neither good nor bad,6,Neutral
"Excellent app, very easy to use and extremely helpful.",4,53,App Store,es,Qatar,2.1.4,No,2024-04-09,54,excellent app easy use extremely helpful,6,Positive
"Highly satisfied, the app works exactly as expected.",4,38,Website,ja,Kenya,4.2.1,Yes,,52,highly satisfy app work exactly expect,6,Positive
"Waste of time, does not meet expectations.",2,181,Google Play,en,Kenya,5.0.3,Yes,,42,waste time not meet expectation,5,Negative
The app is okay and does its job reasonably well.,3,108,App Store,es,France,2.1.4,Yes,,49,app okay job reasonably well,5,Neutral
Poor performance and not user-friendly.,2,176,Amazon,de,India,1.2.3,No,,39,poor performance not user friendly,5,Negative
"Average experience, some features could be improved.",3,100,Flipkart,zh,France,2.1.4,No,2025-03-07,52,average experience feature could improve,5,Neutral
"Highly satisfied, the app works exactly as expected.",4,194,Google Play,es,USA,1.2.3,Yes,,52,highly satisfy app work exactly expect,6,Positive
Poor performance and not user-friendly.,2,25,Google Play,ja,UK,2.1.4,Yes,,39,poor performance not user friendly,5,Negative
Very reliable and worth using regularly.,5,49,Google Play,es,India,3.5.6,Yes,,40,reliable worth use regularly,4,Positive
"Great experience, smooth performance and useful features.",4,189,Google Play,hi,Germany,4.2.1,No,2024-03-02,57,great experience smooth performance useful feature,6,Positive
Poor performance and not user-friendly.,1,47,App Store,es,India,1.2.3,Yes,2024-03-07,39,poor performance not user friendly,5,Negative
"Very disappointing experience, the app crashes often.",1,44,Flipkart,fr,USA,3.5.6,Yes,2024-03-07,53,disappoint experience app crash often,5,Negative
Works fine but there is room for improvement.,3,93,Google Play,pt,India,5.0.3,No,,45,work fine room improvement,4,Neutral
"Highly satisfied, the app works exactly as expected.",4,120,Website,de,India,2.1.4,Yes,,52,highly satisfy app work exactly expect,6,Positive
"Great experience, smooth performance and useful features.",4,186,Amazon,zh,Nepal,3.5.6,No,,57,great experience smooth performance useful feature,6,Positive
"Excellent app, very easy to use and extremely helpful.",4,161,App Store,pt,Germany,1.2.3,No,2024-06-01,54,excellent app easy use extremely helpful,6,Positive
"Very disappointing experience, the app crashes often.",2,29,Amazon,fr,Kenya,1.2.3,No,,53,disappoint experience app crash often,5,Negative
"Average experience, some features could be improved.",3,63,Flipkart,zh,India,2.1.4,Yes,,52,average experience feature could improve,5,Neutral
"Highly satisfied, the app works exactly as expected.",4,20,Google Play,ja,UK,1.2.3,No,,52,highly satisfy app work exactly expect,6,Positive
Very reliable and worth using regularly.,5,60,Flipkart,ar,Poland,5.0.3,No,,40,reliable worth use regularly,4,Positive
Amazing quality and user-friendly interface.,5,77,Flipkart,es,Poland,5.0.3,No,,44,amaze quality user friendly interface,5,Positive
"Average experience, some features could be improved.",3,139,Flipkart,zh,Poland,3.5.6,Yes,,52,average experience feature could improve,5,Neutral
Very reliable and worth using regularly.,5,79,Google Play,en,Qatar,4.2.1,No,,40,reliable worth use regularly,4,Positive
"Highly satisfied, the app works exactly as expected.",5,107,Google Play,es,USA,4.2.1,No,,52,highly satisfy app work exactly expect,6,Positive
"Very disappointing experience, the app crashes often.",2,1,App Store,fr,Italy,2.1.4,Yes,,53,disappoint experience app crash often,5,Negative
"Highly satisfied, the app works exactly as expected.",4,91,Google Play,pt,Poland,5.0.3,Yes,,52,highly satisfy app work exactly expect,6,Positive
"Terrible experience, needs major improvements.",2,50,App Store,hi,India,1.2.3,Yes,,46,terrible experience need major improvement,5,Negative
"Excellent app, very easy to use and extremely helpful.",4,85,Website,ar,France,5.0.3,No,,54,excellent app easy use extremely helpful,6,Positive
"Waste of time, does not meet expectations.",1,106,Google Play,en,USA,5.0.3,Yes,,42,waste time not meet expectation,5,Negative
"Excellent app, very easy to use and extremely helpful.",5,196,Website,ja,USA,5.0.3,No,2025-02-08,54,excellent app easy use extremely helpful,6,Positive
Very reliable and worth using regularly.,5,136,Google Play,pt,Italy,1.2.3,Yes,,40,reliable worth use regularly,4,Positive
"Average experience, some features could be improved.",3,187,Amazon,pt,USA,5.0.3,No,,52,average experience feature could improve,5,Neutral
"Waste of time, does not meet expectations.",1,194,Website,de,Italy,4.2.1,Yes,,42,waste time not meet expectation,5,Negative
"Terrible experience, needs major improvements.",2,144,Flipkart,ar,USA,4.2.1,Yes,,46,terrible experience need major improvement,5,Negative
"Highly satisfied, the app works exactly as expected.",5,83,Amazon,es,UK,1.2.3,No,2025-05-09,52,highly satisfy app work exactly expect,6,Positive
"Waste of time, does not meet expectations.",2,26,Amazon,en,Poland,1.2.3,No,,42,waste time not meet expectation,5,Negative
"Highly satisfied, the app works exactly as expected.",5,160,Website,fr,Kenya,5.0.3,Yes,2024-02-07,52,highly satisfy app work exactly expect,6,Positive
"Excellent app, very easy to use and extremely helpful.",5,196,Amazon,ja,France,3.5.6,No,,54,excellent app easy use extremely helpful,6,Positive
"Waste of time, does not meet expectations.",1,63,Website,pt,India,4.2.1,Yes,,42,waste time not meet expectation,5,Negative
"Very disappointing experience, the app crashes often.",2,132,Amazon,hi,Kenya,2.1.4,Yes,,53,disappoint experience app crash often,5,Negative
Very reliable and worth using regularly.,4,170,Flipkart,pt,India,1.2.3,No,2025-05-03,40,reliable worth use regularly,4,Positive
"Terrible experience, needs major improvements.",1,79,Flipkart,ar,Kenya,1.2.3,Yes,,46,terrible experience need major improvement,5,Negative
Very reliable and worth using regularly.,4,71,Amazon,pt,Qatar,5.0.3,No,,40,reliable worth use regularly,4,Positive
"Not bad, but updates are needed for better performance.",3,147,Flipkart,en,France,5.0.3,No,,55,not bad update need better performance,6,Neutral
"Excellent app, very easy to use and extremely helpful.",5,111,Website,en,India,4.2.1,Yes,2025-02-04,54,excellent app easy use extremely helpful,6,Positive
"Terrible experience, needs major improvements.",2,83,Flipkart,pt,Germany,5.0.3,No,,46,terrible experience need major improvement,5,Negative
"Waste of time, does not meet expectations.",2,175,App Store,zh,Germany,1.2.3,No,,42,waste time not meet expectation,5,Negative
Works fine but there is room for improvement.,3,171,Google Play,es,Germany,4.2.1,No,,45,work fine room improvement,4,Neutral
"Great experience, smooth performance and useful features.",4,120,Google Play,pt,USA,4.2.1,No,,57,great experience smooth performance useful feature,6,Positive
Works fine but there is room for improvement.,3,136,Flipkart,fr,Germany,5.0.3,Yes,,45,work fine room improvement,4,Neutral
"Terrible experience, needs major improvements.",1,17,App Store,fr,UK,3.5.6,No,,46,terrible experience need major improvement,5,Negative
"Terrible experience, needs major improvements.",2,77,Google Play,en,India,3.5.6,Yes,,46,terrible experience need major improvement,5,Negative
"Not satisfied, many bugs and issues.",1,38,Amazon,ja,Germany,2.1.4,Yes,2025-05-02,36,not satisfy many bug issue,5,Negative
The app is okay and does its job reasonably well.,3,90,Google Play,zh,UK,5.0.3,No,2024-04-03,49,app okay job reasonably well,5,Neutral
"Great experience, smooth performance and useful features.",4,3,Amazon,hi,Qatar,3.5.6,No,,57,great experience smooth performance useful feature,6,Positive
"Terrible experience, needs major improvements.",2,174,Amazon,hi,Italy,4.2.1,No,,46,terrible experience need major improvement,5,Negative
Poor performance and not user-friendly.,2,129,Amazon,fr,Nepal,1.2.3,No,2025-05-04,39,poor performance not user friendly,5,Negative
"Very disappointing experience, the app crashes often.",2,136,Amazon,en,USA,5.0.3,No,2024-07-02,53,disappoint experience app crash often,5,Negative
"Great experience, smooth performance and useful features.",5,180,Website,fr,UK,2.1.4,No,2025-02-01,57,great experience smooth performance useful feature,6,Positive
"Waste of time, does not meet expectations.",2,75,Amazon,ja,Poland,2.1.4,No,,42,waste time not meet expectation,5,Negative
"Average experience, some features could be improved.",3,106,Flipkart,en,Kenya,5.0.3,Yes,,52,average experience feature could improve,5,Neutral
"Highly satisfied, the app works exactly as expected.",5,86,App Store,de,Qatar,4.2.1,No,,52,highly satisfy app work exactly expect,6,Positive
Poor performance and not user-friendly.,2,176,Google Play,de,Italy,3.5.6,No,2025-04-04,39,poor performance not user friendly,5,Negative
Amazing quality and user-friendly interface.,5,78,Google Play,fr,France,1.2.3,No,,44,amaze quality user friendly interface,5,Positive
Very reliable and worth using regularly.,4,200,Flipkart,de,Poland,4.2.1,No,2024-07-03,40,reliable worth use regularly,4,Positive
"Waste of time, does not meet expectations.",1,115,Website,ja,Kenya,4.2.1,No,2024-02-07,42,waste time not meet expectation,5,Negative
"Not bad, but updates are needed for better performance.",3,26,App Store,ar,Poland,1.2.3,Yes,,55,not bad update need better performance,6,Neutral
"Decent app, neither too good nor too bad.",3,120,Amazon,de,USA,3.5.6,Yes,2024-02-01,41,decent app neither good nor bad,6,Neutral
"Not bad, but updates are needed for better performance.",3,178,Google Play,en,Nepal,4.2.1,Yes,,55,not bad update need better performance,6,Neutral
The app is okay and does its job reasonably well.,3,15,Flipkart,zh,UK,1.2.3,Yes,,49,app okay job reasonably well,5,Neutral
"Excellent app, very easy to use and extremely helpful.",4,106,Google Play,zh,Italy,2.1.4,No,,54,excellent app easy use extremely helpful,6,Positive
"Terrible experience, needs major improvements.",1,90,Website,zh,Qatar,1.2.3,Yes,,46,terrible experience need major improvement,5,Negative
"Not bad, but updates are needed for better performance.",3,185,Amazon,de,UK,1.2.3,No,2025-02-02,55,not bad update need better performance,6,Neutral
"Terrible experience, needs major improvements.",1,121,Website,hi,Italy,5.0.3,No,,46,terrible experience need major improvement,5,Negative
The app is okay and does its job reasonably well.,3,193,Amazon,hi,Germany,3.5.6,No,2025-03-03,49,app okay job reasonably well,5,Neutral
Very reliable and worth using regularly.,5,170,Google Play,ar,Kenya,3.5.6,No,2025-01-02,40,reliable worth use regularly,4,Positive
"Average experience, some features could be improved.",3,3,Flipkart,ja,Germany,4.2.1,Yes,,52,average experience feature could improve,5,Neutral
Very reliable and worth using regularly.,4,103,App Store,en,Nepal,1.2.3,Yes,,40,reliable worth use regularly,4,Positive
"Terrible experience, needs major improvements.",2,199,App Store,ja,Qatar,3.5.6,Yes,,46,terrible experience need major improvement,5,Negative
"Very disappointing experience, the app crashes often.",2,146,Website,de,Nepal,3.5.6,No,2025-04-09,53,disappoint experience app crash often,5,Negative
"Average experience, some features could be improved.",3,69,App Store,pt,France,1.2.3,No,,52,average experience feature could improve,5,Neutral
"Highly satisfied, the app works exactly as expected.",5,43,Website,fr,Nepal,3.5.6,Yes,,52,highly satisfy app work exactly expect,6,Positive
"Very disappointing experience, the app crashes often.",1,25,App Store,de,Kenya,1.2.3,No,2024-07-08,53,disappoint experience app crash often,5,Negative
"Excellent app, very easy to use and extremely helpful.",5,25,Amazon,pt,Poland,5.0.3,Yes,,54,excellent app easy use extremely helpful,6,Positive
"Waste of time, does not meet expectations.",1,107,Website,zh,USA,4.2.1,Yes,2024-02-04,42,waste time not meet expectation,5,Negative
"Not satisfied, many bugs and issues.",2,136,Amazon,hi,Poland,4.2.1,Yes,2024-01-02,36,not satisfy many bug issue,5,Negative
"Excellent app, very easy to use and extremely helpful.",5,20,App Store,hi,India,4.2.1,No,,54,excellent app easy use extremely helpful,6,Positive
Poor performance and not user-friendly.,1,8,Google Play,en,Nepal,2.1.4,No,,39,poor performance not user friendly,5,Negative
"Waste of time, does not meet expectations.",2,78,App Store,ar,Germany,3.5.6,No,,42,waste time not meet expectation,5,Negative
Very reliable and worth using regularly.,5,186,Amazon,ar,Nepal,5.0.3,No,,40,reliable worth use regularly,4,Positive
"Terrible experience, needs major improvements.",1,200,Website,ar,Germany,1.2.3,Yes,,46,terrible experience need major improvement,5,Negative
"Average experience, some features could be improved.",3,126,Flipkart,ar,Kenya,2.1.4,No,2024-05-08,52,average experience feature could improve,5,Neutral
Amazing quality and user-friendly interface.,4,9,Website,hi,France,5.0.3,No,,44,amaze quality user friendly interface,5,Positive
"Very disappointing experience, the app crashes often.",2,17,Flipkart,ar,France,4.2.1,No,,53,disappoint experience app crash often,5,Negative
"Not satisfied, many bugs and issues.",2,189,Google Play,hi,Kenya,2.1.4,Yes,,36,not satisfy many bug issue,5,Negative
"Not satisfied, many bugs and issues.",2,49,Website,ja,Nepal,3.5.6,No,,36,not satisfy many bug issue,5,Negative
Very reliable and worth using regularly.,4,149,Amazon,ar,France,3.5.6,No,,40,reliable worth use regularly,4,Positive
"Highly satisfied, the app works exactly as expected.",4,163,App Store,de,Qatar,5.0.3,Yes,,52,highly satisfy app work exactly expect,6,Positive
Works fine but there is room for improvement.,3,113,Amazon,es,Poland,2.1.4,Yes,2024-06-08,45,work fine room improvement,4,Neutral
"Waste of time, does not meet expectations.",2,147,Google Play,pt,Poland,2.1.4,Yes,,42,waste time not meet expectation,5,Negative
"Excellent app, very easy to use and extremely helpful.",5,186,Google Play,pt,Germany,5.0.3,No,,54,excellent app easy use extremely helpful,6,Positive
Works fine but there is room for improvement.,3,84,Amazon,es,Poland,2.1.4,Yes,,45,work fine room improvement,4,Neutral
Poor performance and not user-friendly.,1,87,Google Play,en,Italy,1.2.3,No,2024-01-03,39,poor performance not user friendly,5,Negative
"Terrible experience, needs major improvements.",1,155,Google Play,hi,France,2.1.4,No,,46,terrible experience need major improvement,5,Negative
Poor performance and not user-friendly.,1,6,Google Play,ja,USA,2.1.4,No,,39,poor performance not user friendly,5,Negative
"Highly satisfied, the app works exactly as expected.",4,98,Flipkart,ja,Kenya,1.2.3,No,,52,highly satisfy app work exactly expect,6,Positive
"Highly satisfied, the app works exactly as expected.",4,148,Flipkart,fr,Kenya,2.1.4,Yes,,52,highly satisfy app work exactly expect,6,Positive
"Average experience, some features could be improved.",3,125,Amazon,de,USA,1.2.3,Yes,,52,average experience feature could improve,5,Neutral
"Not satisfied, many bugs and issues.",1,197,Website,de,Nepal,5.0.3,No,,36,not satisfy many bug issue,5,Negative
Very reliable and worth using regularly.,5,17,App Store,de,Germany,4.2.1,No,,40,reliable worth use regularly,4,Positive
"Waste of time, does not meet expectations.",2,177,Flipkart,hi,Nepal,1.2.3,No,,42,waste time not meet expectation,5,Negative
"Average experience, some features could be improved.",3,163,Flipkart,en,Kenya,5.0.3,Yes,,52,average experience feature could improve,5,Neutral
"Very disappointing experience, the app crashes often.",2,44,Website,de,Kenya,3.5.6,Yes,,53,disappoint experience app crash often,5,Negative
"Very disappointing experience, the app crashes often.",2,16,Flipkart,zh,Germany,3.5.6,No,2024-02-06,53,disappoint experience app crash often,5,Negative
Amazing quality and user-friendly interface.,4,71,Amazon,zh,Kenya,5.0.3,No,2025-05-08,44,amaze quality user friendly interface,5,Positive
"Terrible experience, needs major improvements.",2,135,Flipkart,zh,UK,2.1.4,No,,46,terrible experience need major improvement,5,Negative
"Waste of time, does not meet expectations.",2,163,Amazon,fr,Poland,4.2.1,Yes,,42,waste time not meet expectation,5,Negative
"Not satisfied, many bugs and issues.",1,56,Website,hi,Poland,4.2.1,No,,36,not satisfy many bug issue,5,Negative
"Not satisfied, many bugs and issues.",1,166,Flipkart,fr,USA,4.2.1,Yes,,36,not satisfy many bug issue,5,Negative
Poor performance and not user-friendly.,2,107,Website,ja,Kenya,5.0.3,No,,39,poor performance not user friendly,5,Negative
"Highly satisfied, the app works exactly as expected.",5,75,App Store,zh,Germany,2.1.4,Yes,,52,highly satisfy app work exactly expect,6,Positive
"Not satisfied, many bugs and issues.",2,31,Google Play,en,UK,4.2.1,No,,36,not satisfy many bug issue,5,Negative
"Excellent app, very easy to use and extremely helpful.",5,76,Flipkart,de,Italy,2.1.4,No,,54,excellent app easy use extremely helpful,6,Positive
Amazing quality and user-friendly interface.,4,6,Google Play,de,Poland,5.0.3,No,,44,amaze quality user friendly interface,5,Positive
Very reliable and worth using regularly.,4,16,Flipkart,es,USA,1.2.3,Yes,,40,reliable worth use regularly,4,Positive
"Highly satisfied, the app works exactly as expected.",4,143,App Store,es,Qatar,1.2.3,Yes,,52,highly satisfy app work exactly expect,6,Positive
"Highly satisfied, the app works exactly as expected.",5,6,Website,fr,Nepal,1.2.3,Yes,,52,highly satisfy app work exactly expect,6,Positive
Very reliable and worth using regularly.,5,170,Flipkart,ja,USA,5.0.3,No,2024-02-06,40,reliable worth use regularly,4,Positive
"Waste of time, does not meet expectations.",2,151,Website,zh,USA,1.2.3,No,,42,waste time not meet expectation,5,Negative
"Waste of time, does not meet expectations.",2,36,Amazon,ja,India,2.1.4,No,2025-04-02,42,waste time not meet expectation,5,Negative
"Not satisfied, many bugs and issues.",1,139,Website,hi,Kenya,2.1.4,No,2025-02-01,36,not satisfy many bug issue,5,Negative
"Very disappointing experience, the app crashes often.",2,43,App Store,fr,USA,4.2.1,No,2024-09-07,53,disappoint experience app crash often,5,Negative
"Not satisfied, many bugs and issues.",2,122,Flipkart,ja,Qatar,3.5.6,No,,36,not satisfy many bug issue,5,Negative
"Great experience, smooth performance and useful features.",4,173,Flipkart,en,India,4.2.1,Yes,,57,great experience smooth performance useful feature,6,Positive
Amazing quality and user-friendly interface.,5,36,App Store,zh,Kenya,4.2.1,No,,44,amaze quality user friendly interface,5,Positive
"Terrible experience, needs major improvements.",2,121,Flipkart,es,Kenya,1.2.3,Yes,,46,terrible experience need major improvement,5,Negative
"Average experience, some features could be improved.",3,177,App Store,zh,France,1.2.3,Yes,2024-07-02,52,average experience feature could improve,5,Neutral
"Great experience, smooth performance and useful features.",4,60,Flipkart,pt,Germany,2.1.4,Yes,2024-03-01,57,great experience smooth performance useful feature,6,Positive
"Great experience, smooth performance and useful features.",4,195,App Store,hi,UK,1.2.3,Yes,2025-05-03,57,great experience smooth performance useful feature,6,Positive
"Not bad, but updates are needed for better performance.",3,143,Google Play,fr,Kenya,2.1.4,No,,55,not bad update need better performance,6,Neutral
"Decent app, neither too good nor too bad.",3,169,Website,zh,Nepal,2.1.4,No,,41,decent app neither good nor bad,6,Neutral
"Great experience, smooth performance and useful features.",5,182,Website,zh,France,3.5.6,No,,57,great experience smooth performance useful feature,6,Positive
"Decent app, neither too good nor too bad.",3,144,Amazon,ja,Poland,3.5.6,No,,41,decent app neither good nor bad,6,Neutral
Amazing quality and user-friendly interface.,4,66,App Store,es,Germany,3.5.6,Yes,,44,amaze quality user friendly interface,5,Positive
"Not bad, but updates are needed for better performance.",3,112,Flipkart,es,Italy,3.5.6,Yes,,55,not bad update need better performance,6,Neutral
"Waste of time, does not meet expectations.",1,72,App Store,es,Germany,1.2.3,No,,42,waste time not meet expectation,5,Negative
"Not satisfied, many bugs and issues.",2,163,Flipkart,zh,Qatar,2.1.4,No,,36,not satisfy many bug issue,5,Negative
"Not bad, but updates are needed for better performance.",3,91,Website,pt,USA,2.1.4,No,2025-02-02,55,not bad update need better performance,6,Neutral
"Very disappointing experience, the app crashes often.",2,12,Google Play,ar,USA,3.5.6,No,,53,disappoint experience app crash often,5,Negative
"Terrible experience, needs major improvements.",2,140,App Store,es,Qatar,4.2.1,No,2024-01-06,46,terrible experience need major improvement,5,Negative
"Great experience, smooth performance and useful features.",5,159,Flipkart,zh,Kenya,1.2.3,Yes,,57,great experience smooth performance useful feature,6,Positive
"Great experience, smooth performance and useful features.",5,25,Google Play,zh,Kenya,2.1.4,Yes,,57,great experience smooth performance useful feature,6,Positive
Works fine but there is room for improvement.,3,61,Website,hi,USA,3.5.6,Yes,,45,work fine room improvement,4,Neutral
Very reliable and worth using regularly.,4,33,App Store,de,Germany,2.1.4,No,,40,reliable worth use regularly,4,Positive
"Very disappointing experience, the app crashes often.",2,34,App Store,en,India,2.1.4,No,,53,disappoint experience app crash often,5,Negative
"Terrible experience, needs major improvements.",1,132,Flipkart,en,UK,1.2.3,Yes,,46,terrible experience need major improvement,5,Negative
"Average experience, some features could be improved.",3,184,App Store,hi,India,2.1.4,No,2024-02-03,52,average experience feature could improve,5,Neutral
"Very disappointing experience, the app crashes often.",1,164,Google Play,pt,Nepal,1.2.3,No,,53,disappoint experience app crash often,5,Negative
"Excellent app, very easy to use and extremely helpful.",4,132,Website,es,Poland,3.5.6,Yes,2024-09-07,54,excellent app easy use extremely helpful,6,Positive
"Not bad, but updates are needed for better performance.",3,193,App Store,zh,Italy,4.2.1,Yes,,55,not bad update need better performance,6,Neutral
Very reliable and worth using regularly.,5,92,App Store,es,Kenya,2.1.4,No,,40,reliable worth use regularly,4,Positive
"Excellent app, very easy to use and extremely helpful.",4,134,Flipkart,es,UK,4.2.1,Yes,,54,excellent app easy use extremely helpful,6,Positive
"Average experience, some features could be improved.",3,135,Google Play,ar,France,2.1.4,Yes,,52,average experience feature could improve,5,Neutral
"Highly satisfied, the app works exactly as expected.",4,151,Amazon,zh,Kenya,5.0.3,No,,52,highly satisfy app work exactly expect,6,Positive
"Highly satisfied, the app works exactly as expected.",4,163,Flipkart,en,Germany,2.1.4,Yes,,52,highly satisfy app work exactly expect,6,Positive
The app is okay and does its job reasonably well.,3,167,Amazon,ar,Qatar,1.2.3,Yes,,49,app okay job reasonably well,5,Neutral
